"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Watanabe J.H.; Strand M.W.; Shen W.; Kwon J.; Reikes A.","Watanabe, Jonathan H. (35244066900); Strand, Michael W. (59974811600); Shen, Weining (56542258600); Kwon, Jimmy (57211939483); Reikes, Andrew (6504739564)","35244066900; 59974811600; 56542258600; 57211939483; 6504739564","Insulin Glargine Utilization and Spending Before and After the First Biosimilar Insulin Glargine: A Real-World Data Study","2025","Journal of General Internal Medicine","","","","","","1","10.1007/s11606-025-09917-5","https://www.scopus.com/pages/publications/105020880950?origin=resultslist","Background: Insulin glargine Lantus® has been a top 10 Medicare Part D medication by spending for multiple years and was the only glargine until 2015. In 2016, Basaglar®, the first biosimilar referencing Lantus® was released. In 2020, the first biosimilar to achieve FDA-interchangeable designation, Semglee®, became available. This is the first large health-system study of utilization, costs, and savings attributable to alternative glargines. Objective: Using the University of California Health Data Warehouse, we assessed utilization, costs, and savings before and after alternative glargines introduction to inform access and policy considerations for patients with diabetes. Design: Retrospective, observational, longitudinal study. Patients: 110 659 glargine users with type I or II diabetes. Main Measures: Number and proportion of patients receiving Lantus®, Basaglar®, and Semglee® glargines daily, by age category with spending and savings estimates. Key Results: Lantus® user proportion reduction after Basaglar® availability was associated with monthly spending reduction from $191 to $147 for patients under 65 and from $191 to $158 in those 65 and older from January 2015 to January 2022. Glargine users increased from 8 541 to 39 536 from 2012 to 2022. Basaglar® users increased from 6 on January 1st 2017 to 6 010 on January 1st 2022. Semglee® users increased from 29 on January 1st 2021 to 207 on January 1st 2022. Number treated for $100 000 increased after biosimilar availability, from 132 to 171 among patients under 65 and from 124 to 151 among patients 65 and older from 2015 to 2022. Annual savings attributable to biosimilars was $19.05 million in 2022 in the study population. Conclusion: Basaglar® release was associated with spending reductions that accelerated after Semglee® availability. Biosimilar availability was associated with increases in glargine users and users per fixed-dollar amount. This study provides supportive evidence for biosimilar adoption policies. Primary Funding Source: None. © The Author(s) 2025.","","","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020880950"
"Kang J.; Ji E.; Kim J.; Bae H.; Cho E.; Kim E.S.; Shin M.J.; Kim H.B.","Kang, Jahyun (50461617600); Ji, Eunjeong (36243748900); Kim, Junghee (57225303500); Bae, Hyunok (57488896900); Cho, Eunyoung (57488843000); Kim, Eu Suk (22938086900); Shin, Myoung Jin (54781830800); Kim, Hong Bin (35307429400)","50461617600; 36243748900; 57225303500; 57488896900; 57488843000; 22938086900; 54781830800; 35307429400","Evaluation of Patients' Adverse Events during Contact Isolation for Vancomycin-Resistant Enterococci Using a Matched Cohort Study with Propensity Score","2022","JAMA Network Open","5","3","","E221865","","5","10.1001/jamanetworkopen.2022.1865","https://www.scopus.com/pages/publications/85126388808?origin=resultslist","Importance: Although contact isolation has been widely recommended for multidrug-resistant organisms, contact isolation has raised some concerns that it may bring unintended patient harms. Objective: To compare adverse events between a contact isolation group with vancomycin-resistant Enterococcus (VRE) and a matched comparison group using a relatively large data set from full electronic medical records (EMR) and propensity score-matching methods. Design, Setting, and Participants: This retrospective, matched cohort study was conducted at Seoul National University Bundang Hospital (SNUBH) in Korea, a tertiary, university-affiliated hospital that has 1337 inpatient beds. Participants included a total of 98529 hospitalized adult patients (aged ≥18 years) during 2015 to 2017. Exposures: Contact isolation in a single or shared double room. Main Outcomes and Measures: As adverse contact isolation-related outcomes, falls and pressure ulcers were included. All relevant EMR data were extracted from the SNUBH clinical data warehouse. Risk factors for adverse events were included in the propensity score model based on literature reviews, such as Braden scale score and Hendrich II fall risk score. A fine stratification and weighting (FSW) and a 1:10 nearest neighbor (NN) propensity score matching as a sensitivity analysis were adopted to compare adverse events between the 2 groups for the observation period from the study entry date and the exit date. Time-to-event analyses with a Cox proportional hazard model were conducted in December 2021. Results: For comparison of outcomes in wards, 177 patients (mean [SD] age, 67.38 [14.12] years; 98 [55.4%] female) with VRE and 93022 patients (mean [SD] age, 56.44 [16.88] years; 49462 [53.2%] female) without VRE were included and no difference was found in basic characteristics from the FSW (VRE contact isolation [n = 172] vs comparison [n = 69434]) as well as from the 1:10 NN (VRE contact isolation [n = 168] vs comparison [n = 1650]). Among 177 patients with VRE contact isolation, 8 pressure ulcers and 3 falls occurred during their hospital stays; incidence rates of adverse events were 2.5 and 0.9 per 1000 patient-days, respectively (pressure ulcer incidence rate from the FSW: 2.53 per 1000 patient-days [95% CI, 1.09-4.99 per 1000 patient-days]; pressure ulcer incidence rate from the 1:10 NN: 2.54 per 1000 patient-days [95% CI, 1.10-5.01 per 1000 patient-days]; fall incidence rate from the FSW: 0.87 per 1000 patient-days [95% CI, 0.18-2.54 per 1000 patient-days]; fall incidence rate from the 1:10 NN: 0.87 per 1000 patient-days [95% CI, 0.18-2.55 per 1000 patient-days]). The hazard ratios for adverse events showed no statistically significant differences for both groups: 1.42 (95% CI, 0.67-2.99) for pressure ulcer and 0.66 (95% CI, 0.20-2.13) for fall from the FSW. Conclusions and Relevance: In this cohort study, no association was found between the likelihood of adverse events and contact isolation using propensity score-matching methods and closely related covariates for adverse events. © 2022 American Medical Association. All rights reserved.","","Adolescent; Adult; Aged; Cohort Studies; Cross Infection; Female; Gram-Positive Bacterial Infections; Hospitals, University; Humans; Infection Control; Male; Middle Aged; Pressure Ulcer; Propensity Score; Retrospective Studies; Vancomycin-Resistant Enterococci; aged; Article; Braden Scale; cohort analysis; contact isolation; controlled study; decubitus; electronic medical record; enterococcal infection; fall risk; falling; female; hospital admission; hospital patient; human; incidence; length of stay; major clinical study; male; propensity score; retrospective study; South Korea; tertiary care center; ulcer incidence; university hospital; vancomycin resistant Enterococcus; adolescent; adult; cross infection; decubitus; Gram positive infection; infection control; middle aged; procedures; propensity score","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85126388808"
"Shah Z.S.; Clark R.H.; Patt H.A.; Backes C.H., Jr.; Tolia V.N.","Shah, Zubin S. (57204103065); Clark, Reese H. (57218644014); Patt, Hanoch A. (59430284400); Backes, Carl H. (55240011800); Tolia, Veeral N. (56060047500)","57204103065; 57218644014; 59430284400; 55240011800; 56060047500","Trends in Procedural Closure of the Patent Ductus Arteriosus among Infants Born at 22 to 30 Weeks’ Gestation","2023","Journal of Pediatrics","263","","113716","","","26","10.1016/j.jpeds.2023.113716","https://www.scopus.com/pages/publications/85173116132?origin=resultslist","Objective: To describe recent trend in procedural closure of the patent ductus arteriosus (PDA) among premature infants and compare the clinical characteristics of infants receiving surgical vs transcatheter closure. Study design: We conducted a descriptive, retrospective cohort study of preterm infants born between 220/7 and 296/7 weeks’ gestation from 2014 through 2021. Infants were identified from the Pediatrix Clinical Data Warehouse. We excluded infants with any major congenital anomaly. We identified all preterm infants with a PDA and all those who underwent procedural closure (surgical ligation or transcatheter occlusion) and compared changes over time using ANOVA for continuous variables and the Cochran-Armitage trend test to evaluate time-related changes in proportions. Results: The study cohort included 64 580 infants, of whom 24 028 (37.2%) were diagnosed with a PDA. The number of infants receiving any procedural closure of the PDA decreased from 371 (4.4%) in 2014 to 144 (1.9%) in 2021. During the same period, number of surgical ligations decreased from 369 (4.36%) to 64 (0.84%), and the number of transcatheter occlusions increased from 2 (0.02%) to 80 (1.05% p for all < 0.001). The median age at time of surgical ligation increased from 25 days (10th and 90th percentile, 10, 61) to 31 days (10th and 90th percentile, 16, 66), and the median age of transcatheter occlusion decreased from 103 days (10th and 90th percentile, 32, 150) to 43 days (10th and 90th percentile, 22, 91). Conclusions: There was a decrease in surgical closure and an increase in transcatheter occlusion of the PDA in infants born at 22-30 weeks' gestation from 2014 to 2021. Despite the decline in overall procedural closure, the rate of transcatheter occlusion surpassed surgical ligation by 2021. Narrowing differences in the median age and weight at closure suggest increasing overlap in the types of infants who received each type of procedural closure. © 2023 Elsevier Inc.","patent ductus arteriosus; premature infants","Ductus Arteriosus, Patent; Female; Gestational Age; Humans; Infant; Infant, Newborn; Infant, Premature; Ligation; Pregnancy; Retrospective Studies; Treatment Outcome; Vascular Diseases; ibuprofen; ibuprofen lysine; indometacin; paracetamol; Article; clinical feature; cohort analysis; controlled study; female; human; infant; ligation; major clinical study; male; patent ductus arteriosus; prematurity; retrospective study; surgical technique; transcatheter closure; trend study; gestational age; ligation; newborn; patent ductus arteriosus; pregnancy; prematurity; treatment outcome; vascular disease","Article","Final","","Scopus","2-s2.0-85173116132"
"Kim I.M.; Radgoudarzi N.; Chen E.M.; Liu J.; Moussa K.; Shantha J.G.; Tsui E.; Gore C.; Baxter S.L.; Porco T.C.; Arnold B.F.; Sun C.Q.","Kim, Iris M. (60094367400); Radgoudarzi, Niloofar (57575516900); Chen, Evan M. (57211669585); Liu, Jocelyn (60016552300); Moussa, Kareem (57150771900); Shantha, Jessica G. (36678162000); Tsui, Edmund (56900905800); Gore, Charlotte (36097516000); Baxter, Sally L. (57200760006); Porco, Travis C. (6701556756); Arnold, Benjamin F. (16174532400); Sun, Catherine Q. (55626056300)","60094367400; 57575516900; 57211669585; 60016552300; 57150771900; 36678162000; 56900905800; 36097516000; 57200760006; 6701556756; 16174532400; 55626056300","Time to Progression to Proliferative Diabetic Retinopathy in Patients With Type 2 Diabetes","2025","JAMA Network Open","8","7","e2521150","","","6","10.1001/jamanetworkopen.2025.21150","https://www.scopus.com/pages/publications/105011773906?origin=resultslist","IMPORTANCE Risk stratification of patients at risk of progression to proliferative diabetic retinopathy (PDR) enables earlier detection and more efficient allocation of health care resources. OBJECTIVE To develop survival models to predict progression to PDR in patients with type 2 diabetes. DESIGN, SETTING, AND PARTICIPANTS This prognostic study used deidentified electronic health record data from the University of California (UC) Health Data Warehouse (UCHDW) from March 1, 2012, to July 3, 2024. The UCHDW consists of data on 10 million patients receiving care from the UC Health system. Patients aged 18 years or older with nonproliferative diabetic retinopathy (NPDR) or diabetic macular edema (DME) and type 2 diabetes were included. Patients who had a diagnosis of PDR before the index date or failed to meet the look-back criterion (≥1 outpatient visit at least 1 year before index date) were excluded. The cohort was divided into a development set and an external test set by UC Health site. The development set was split into an internal training set (75%) and test set (25%). The 3 survival models used (Cox proportional hazards regression, Cox with least absolute shrinkage and selection operator [LASSO] regression, and random survival forest [RSF]) were trained on the internal training set and validated on the internal and external test sets. EXPOSURES Risk factors included demographics, eye-related diagnoses, systemic comorbidities, laboratory data, vital signs, medications, and procedures. MAIN OUTCOMES AND MEASURES The primary outcome was time from the index date (first diagnosis of diabetic retinopathy recorded in the UCHDW) to the first PDR diagnosis or the last in-person visit. Harrell concordance index (C index) was used to assess the model’s predictive performance. RESULTS Among 7739 participants (mean [SD] age, 66.7 [11.4] years; 4116 males [53.2%]; 1548 Asian [20.0%], 744 Black or African American [9.6%], 1665 Hispanic or Latino [21.5%]; 3278 White [42.4%], 1286 other [16.6%] individuals) were included. Of these patients, 723 (9.3%) had PDR progression with a mean (SD) progression time of 1.89 (2.09) years. All survival models had good predictive discrimination (C index, 0.73-0.75) for the internal and external test sets. The Cox proportional hazards regression and RSF models had good calibration for up to 2 years. Key independent risk factors summarized across all models were baseline age, race, ethnicity, DME, NPDR severity, mean hemoglobin A1c level, and diabetic nephropathy. CONCLUSIONS AND RELEVANCE The survival models developed and validated in this study demonstrated good discrimination across internal and external test sets and good calibration up to 2 years. These models have the potential to enable earlier identification, personalized follow-up, and targeted resource allocation for high-risk patients. © 2025 Kim IM et al. JAMA Network Open.","","Adult; Aged; Diabetes Mellitus, Type 2; Diabetic Retinopathy; Disease Progression; Female; Humans; Macular Edema; Male; Middle Aged; Prognosis; Proportional Hazards Models; Risk Factors; Time Factors; antihypertensive agent; biological marker; glucagon like peptide 1; hemoglobin A1c; insulin; adult; African American; Article; Asian; calibration; California; Caucasian; clinical outcome; cohort analysis; comorbidity; controlled study; diabetic macular edema; diabetic nephropathy; diabetic retinopathy; disease exacerbation; disease free interval; ethnicity; female; follow up; high risk patient; high risk population; Hispanic; human; insulin dependent diabetes mellitus; laser coagulation; major clinical study; male; medicaid; medicare; non insulin dependent diabetes mellitus; nonproliferative diabetic retinopathy; outcome assessment; prediction; prediction error; predictive model; predictive value; proliferative diabetic retinopathy; risk factor; social status; survival rate; Systematized Nomenclature of Medicine; aged; complication; diabetic retinopathy; diagnosis; disease exacerbation; epidemiology; etiology; macular edema; middle aged; prognosis; proportional hazards model; time factor","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105011773906"
"Tannier X.; Wajsbürt P.; Calliger A.; Dura B.; Mouchet A.; Hilka M.; Bey R.","Tannier, Xavier (8979357900); Wajsbürt, Perceval (57221490610); Calliger, Alice (57833659000); Dura, Basile (57212509573); Mouchet, Alexandre (57720663900); Hilka, Martin (57218568565); Bey, Romain (57221489005)","8979357900; 57221490610; 57833659000; 57212509573; 57720663900; 57218568565; 57221489005","Development and Validation of a Natural Language Processing Algorithm to Pseudonymize Documents in the Context of a Clinical Data Warehouse","2024","Methods of Information in Medicine","63","1-2","","21","34","10","10.1055/s-0044-1778693","https://www.scopus.com/pages/publications/85187705967?origin=resultslist","Objective ?The objective of this study is to address the critical issue of deidentification of clinical reports to allow access to data for research purposes, while ensuring patient privacy. The study highlights the difficulties faced in sharing tools and resources in this domain and presents the experience of the Greater Paris University Hospitals (AP-HP for Assistance Publique-Hôpitaux de Paris) in implementing a systematic pseudonymization of text documents from its Clinical Data Warehouse. Methods ?We annotated a corpus of clinical documents according to 12 types of identifying entities and built a hybrid system, merging the results of a deep learning model as well as manual rules. Results and Discussion ?Our results show an overall performance of 0.99 of F1-score. We discuss implementation choices and present experiments to better understand the effort involved in such a task, including dataset size, document types, language models, or rule addition. We share guidelines and code under a 3-Clause BSD license.  © 2024. The Author(s).","Clinical Data Warehouse; electronic health reports; named entity recognition; natural language processing; pseudonymization","Algorithms; Data Warehousing; Humans; Natural Language Processing; algorithm; anonymization; article; clinical study; data warehouse; deep learning; human; language model; natural language processing; practice guideline; privacy; university hospital; data warehouse","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85187705967"
"Baum L.; Müller A.; Johns M.; Abu Attieh H.; Halilovic M.; Milicevic V.; Neves D.T.; Otte K.; Pasquier A.; Wirth F.N.; Segelitz P.; Schönrath K.; Weber J.E.; Prasser F.","Baum, Lena (58125828200); Müller, Armin (57224207012); Johns, Marco (57219918237); Abu Attieh, Hammam (59134145200); Halilovic, Mehmed (58159453700); Milicevic, Vladimir (59297708600); Neves, Diogo Telmo (35311908900); Otte, Karen (55246527600); Pasquier, Anna (59297887500); Wirth, Felix Nikolaus (57219918274); Segelitz, Patrick (57221252931); Schönrath, Katharina (37078048600); Weber, Joachim E. (23468279500); Prasser, Fabian (55295824400)","58125828200; 57224207012; 57219918237; 59134145200; 58159453700; 59297708600; 35311908900; 55246527600; 59297887500; 57219918274; 57221252931; 37078048600; 23468279500; 55295824400","An interactive dashboard for analyzing user interaction patterns in the i2b2 clinical data warehouse","2024","BMC Medical Informatics and Decision Making","24","1","333","","","2","10.1186/s12911-024-02748-0","https://www.scopus.com/pages/publications/85209475935?origin=resultslist","Background: Clinical data warehouses provide harmonized access to healthcare data for medical researchers. Informatics for Integrating Biology and the Bedside (i2b2) is a well-established open-source solution with the major benefit that data representations can be tailored to support specific use cases. These data representations can be defined and improved via an iterative approach together with domain experts and the medical researchers using the platform. To facilitate these discussions, it is important to understand how users interact with the system. Objective: The objective of this work was to develop metrics for describing user interactions with clinical data warehouses in general and i2b2 in particular. Moreover, we aimed to develop a dashboard featuring interactive visualizations that inform data engineers and data stewards about potential improvements. Methods: We first identified metrics for different data usage dimensions and extracted the relevant metadata about previous user queries from the i2b2 database schema for further analysis. We then implemented associated visualizations in Python and integrated the results into an interactive dashboard using Dash. Results: The identified categories of metrics include frequency of use, session duration, and use of functionality and features. We created a dashboard that extends our local i2b2 data warehouse platform, focusing on the latter category, further broken down into the number of queries, frequently queried concepts, and query complexity. The implementation is available as open-source software. Conclusion: A range of metrics can be derived from metadata logged in the i2b2 database schema to provide data engineers and data stewards with a comprehensive understanding of how users interact with the platform. This can help to identify the strengths and limitations of specific instances of the platform for specific use cases and aid their iterative improvement. © The Author(s) 2024.","Clinical data warehouse; Dashboard; Data visualization; Health data; User interaction","Data Warehousing; Humans; User-Computer Interface; computer interface; data warehouse; human","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85209475935"
"Peterson T.A.; Fontil V.; Koliwad S.K.; Patel A.; Butte A.J.","Peterson, Thomas A. (7202318131); Fontil, Valy (56079848300); Koliwad, Suneil K. (6507015685); Patel, Ayan (57222114958); Butte, Atul J. (7003333396)","7202318131; 56079848300; 6507015685; 57222114958; 7003333396","Quantifying Variation in Treatment Utilization for Type 2 Diabetes Across Five Major University of California Health Systems","2021","Diabetes Care","44","4","","908","914","11","10.2337/DC20-0344","https://www.scopus.com/pages/publications/85103306262?origin=resultslist","OBJECTIVE Using the newly created University of California (UC) Health Data Warehouse, we present the first study to analyze antihyperglycemic treatment utilization across the five large UC academic health systems (Davis, Irvine, Los Angeles, San Diego, and San Francisco). RESEARCH DESIGN AND METHODS This retrospective analysis used deidentified electronic health records (EHRs; 2014– 2019) including 97,231 patients with type 2 diabetes from 1,003 UC-affiliated clinical settings. Significant differences between health systems and individual providers were identified using binomial probabilities with cohort matching. RESULTS Our analysis reveals statistically different treatment utilization patterns not only between health systems but also among individual providers within health systems. We identified 21 differences among health systems and 29 differences among individual providers within these health systems, with respect to treatment intensifications within existing guidelines on top of either metformin monotherapy or dual therapy with metformin and a sulfonylurea. Next, we identified variation for medications within the same class (e.g., glipizide vs. glyburide among sulfonylureas), with 33 differences among health systems and 86 among individual providers. Finally, we identified 2 health systems and 55 individual providers who more frequently used medications with known cardioprotective benefits for patients with high cardiovascular disease risk, but also 1 health system and 8 providers who prescribed such medications less frequently for these patients. CONCLUSIONS Our study used cohort-matching techniques to highlight real-world variation in care between health systems and individual providers. This demonstrates the power of EHRs to quantify differences in treatment utilization, a necessary step toward standardizing precision care for large populations. © 2021 by the American Diabetes Association.","","Diabetes Mellitus, Type 2; Humans; Hypoglycemic Agents; Metformin; Retrospective Studies; Sulfonylurea Compounds; albiglutide; alogliptin; alpha glucosidase inhibitor; canagliflozin; dapagliflozin; dipeptidyl peptidase IV inhibitor; dulaglutide; empagliflozin; exendin 4; glibenclamide; glimepiride; glipizide; glitazone derivative; glucagon like peptide 1 receptor agonist; insulin; linagliptin; liraglutide; lixisenatide; meglitinide; metformin; nateglinide; repaglinide; saxagliptin; sitagliptin; sodium glucose cotransporter 2 inhibitor; sulfonylurea; antidiabetic agent; metformin; sulfonylurea derivative; Article; California; cardiovascular disease; cohort analysis; combination drug therapy; electronic health record; health care personnel; health care system; health care utilization; heart protection; high risk patient; human; major clinical study; monotherapy; non insulin dependent diabetes mellitus; practice guideline; prescription; quantitative analysis; retrospective study","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85103306262"
"Vergani E.; Iacomini C.; Giampietro A.; Milardi D.; Chiloiro S.; Mancini A.; De Marinis L.; Bianchi A.; Patarnello S.; Pontecorvi A.","Vergani, Edoardo (57202962104); Iacomini, Chiara (57221853125); Giampietro, Antonella (6603236312); Milardi, Domenico (57075002400); Chiloiro, Sabrina (55767846100); Mancini, Antonio (7201831176); De Marinis, Laura (7006289954); Bianchi, Antonio (57202862658); Patarnello, Stefano (57219864227); Pontecorvi, Alfredo (7004093428)","57202962104; 57221853125; 6603236312; 57075002400; 55767846100; 7201831176; 7006289954; 57202862658; 57219864227; 7004093428","Building the adult growth hormone deficiency data mart: a Real-World model of AI-driven clinical data extraction in a single Italian center","2026","Journal of Endocrinological Investigation","","","","","","0","10.1007/s40618-026-02918-z","https://www.scopus.com/pages/publications/105040235461?origin=resultslist","Purpose: Adult Growth Hormone Deficiency (AGHD) is a complex and under-recognized condition, mainly managed in outpatient settings and characterized by fragmented and heterogeneous clinical data. Population registries provide high-quality evidence but require long timeframes and substantial resources. The aim of this study was to design and validate an artificial intelligence (AI)-driven methodology for the construction of a disease-specific AGHD Data Mart from routine clinical data within a single high-volume center, to support real-world evidence generation and future advanced analytics. Methods: A standardized Data Science framework, based on automated extraction from hospital data warehouses and electronic medical records, integrating structured data and unstructured clinical narratives through natural language processing, was implemented. AGHD patients were identified using a combination of ICD-9 codes and text-mining applied to outpatient reports. A multidisciplinary workflow ensured clinical validation of extracted data. The Data Mart described patient identification from first hospital access (T0) and included diagnostic modality, etiology, biochemical data, comorbidities, and growth hormone replacement therapy. Results: Among 210 identified patients, 188 were validated as AGHD after expert review. Diagnoses were based on dynamic testing (28.2%), panhypopituitarism with low IGF-1 (54.3%), or AI-assisted identification (17.6%). Etiology was retrieved in 87.8% of cases, with post-surgical causes being the most frequent. 37.8% of patients were receiving rhGH therapy. Specific trends for IGF-1 values for single patients were described. Conclusion: This study represents the first AI-driven AGHD Data Mart and demonstrates the feasibility of constructing the Data Mart from routine clinical data. This approach offers a complementary framework for structured RWD extraction and may support future longitudinal analyses and AI-based clinical support in AGHD. © The Author(s) 2026.","Artificial intelligence; Data mart; Growth hormone; Growth hormone deficiency; Natural language processing; Real world data; Real world evidence","","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105040235461"
"Loizillon S.; Bottani S.; Maire A.; Ströer S.; Dormont D.; Colliot O.; Burgos N.","Loizillon, Sophie (57973457900); Bottani, Simona (57203575122); Maire, Aurélien (57221490732); Ströer, Sebastian (57195601143); Dormont, Didier (7101818932); Colliot, Olivier (57924085200); Burgos, Ninon (55887379000)","57973457900; 57203575122; 57221490732; 57195601143; 7101818932; 57924085200; 55887379000","Automatic motion artefact detection in brain T1-weighted magnetic resonance images from a clinical data warehouse using synthetic data","2024","Medical Image Analysis","93","","103073","","","16","10.1016/j.media.2023.103073","https://www.scopus.com/pages/publications/85181761854?origin=resultslist","Containing the medical data of millions of patients, clinical data warehouses (CDWs) represent a great opportunity to develop computational tools. Magnetic resonance images (MRIs) are particularly sensitive to patient movements during image acquisition, which will result in artefacts (blurring, ghosting and ringing) in the reconstructed image. As a result, a significant number of MRIs in CDWs are corrupted by these artefacts and may be unusable. Since their manual detection is impossible due to the large number of scans, it is necessary to develop tools to automatically exclude (or at least identify) images with motion in order to fully exploit CDWs. In this paper, we propose a novel transfer learning method from research to clinical data for the automatic detection of motion in 3D T1-weighted brain MRI. The method consists of two steps: a pre-training on research data using synthetic motion, followed by a fine-tuning step to generalise our pre-trained model to clinical data, relying on the labelling of 4045 images. The objectives were both (1) to be able to exclude images with severe motion, (2) to detect mild motion artefacts. Our approach achieved excellent accuracy for the first objective with a balanced accuracy nearly similar to that of the annotators (balanced accuracy>80 %). However, for the second objective, the performance was weaker and substantially lower than that of human raters. Overall, our framework will be useful to take advantage of CDWs in medical imaging and highlight the importance of a clinical validation of models trained on research data. © 2023","Clinical data warehouse; Deep learning; Motion; MRI","Artifacts; Brain; Data Warehousing; Humans; Magnetic Resonance Imaging; Motion; Clinical research; Data warehouses; Deep learning; Learning systems; Magnetic resonance imaging; Medical imaging; Motion analysis; gadolinium; Artifact detection; Clinical data; Clinical data warehouse; Deep learning; Magnetic resonance image; Motion; Motion artifact; Research data; Synthetic data; T1-weighted; adult; aged; Article; automation; comparative study; contrast enhancement; Conv5FC3 model; convolutional neural network; cross validation; data warehouse; deep learning; detection algorithm; diagnostic accuracy; false positive result; female; human; image artifact; image processing; image quality; major clinical study; male; motion; neuroimaging; random forest; receiver operating characteristic; residual neural network; sensitivity and specificity; squeeze and excitation convolutional neural network; T1 weighted imaging; three-dimensional imaging; transfer of learning; two-dimensional imaging; vision transformer; artifact; brain; diagnostic imaging; motion; nuclear magnetic resonance imaging; Magnetic resonance","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85181761854"
"Loizillon S.; Bottani S.; Maire A.; Ströer S.; Dormont D.; Colliot O.; Burgos N.; Belkacem S.S.S.; Boddaert N.; Benoudiba F.; Nasser G.; Ancelet C.; Spelle L.; Ducou-Le-Pointe H.; Adamsbaum C.; Alison M.; Houdart E.; Carlier R.; Edjlali M.; Marro B.; Arrive L.; Luciani A.; Khalil A.; Dion E.; Rocher L.; Brillet P.-Y.; Legmann P.; Drape J.-L.; Bréant S.; Daniel C.; Hilka M.; Jacob Y.; Dubiel J.; Saussol C.; Gozlan R.; Tubach F.; Ropers J.; Rozès A.; Nevoret C.","Loizillon, Sophie (57973457900); Bottani, Simona (57203575122); Maire, Aurélien (57221490732); Ströer, Sebastian (57195601143); Dormont, Didier (7101818932); Colliot, Olivier (57924085200); Burgos, Ninon (55887379000); Belkacem, Samia Si Smail (56049879700); Boddaert, Nathalie (57203073518); Benoudiba, Farida (6601973779); Nasser, Ghaida (8533478700); Ancelet, Claire (56503841000); Spelle, Laurent (6603746195); Ducou-Le-Pointe, Hubert (56186671800); Adamsbaum, Catherine (56227926900); Alison, Marianne (7006056010); Houdart, Emmanuel (7006089336); Carlier, Robert (7005926981); Edjlali, Myriam (14033746200); Marro, Betty (59628050500); Arrive, Lionel (7006758155); Luciani, Alain (35264803600); Khalil, Antoine (7201416500); Dion, Elisabeth (55629058000); Rocher, Laurence (7006128632); Brillet, Pierre-Yves (6602854427); Legmann, Paul (7004548739); Drape, Jean-Luc (7007051649); Bréant, Stéphane (57204773507); Daniel, Christel (24334555100); Hilka, Martin (57218568565); Jacob, Yannick (57223962491); Dubiel, Julien (57221492433); Saussol, Cyrina (57204608041); Gozlan, Rafael (57713741800); Tubach, Florence (55331427300); Ropers, Jacques (57159829700); Rozès, Antoine (57221489858); Nevoret, Camille (60640992000)","57973457900; 57203575122; 57221490732; 57195601143; 7101818932; 57924085200; 55887379000; 56049879700; 57203073518; 6601973779; 8533478700; 56503841000; 6603746195; 56186671800; 56227926900; 7006056010; 7006089336; 7005926981; 14033746200; 59628050500; 7006758155; 35264803600; 7201416500; 55629058000; 7006128632; 6602854427; 7004548739; 7007051649; 57204773507; 24334555100; 57218568565; 57223962491; 57221492433; 57204608041; 57713741800; 55331427300; 57159829700; 57221489858; 60640992000","Transfer learning from synthetic to routine clinical data for motion artefact detection in brain T1-weighted MRI","2023","Progress in Biomedical Optics and Imaging - Proceedings of SPIE","12464","","124641H","","","4","10.1117/12.2648201","https://www.scopus.com/pages/publications/85159707506?origin=resultslist","Clinical data warehouses (CDWs) contain the medical data of millions of patients and represent a great opportunity to develop computational tools. MRIs are particularly sensitive to patient movements during image acquisition, which will result in artefacts (blurring, ghosting and ringing) in the reconstructed image. As a result, a significant number of MRIs in CDWs are unusable because corrupted by these artefacts. Since their manual detection is impossible due to the number of scans, it is necessary to develop a tool to automatically exclude images with motion in order to fully exploit CDWs. In this paper, we propose a CNN for the automatic detection of motion in 3D T1-weighted brain MRI. Our transfer learning approach, based on synthetic motion generation, consists of two steps: a pre-training on research data using synthetic motion, followed by a fine-tuning step to generalise our pre-trained model to clinical data, relying on the manual labelling of 5500 images. The objectives were both (1) to be able to exclude images with severe motion, (2) to detect mild motion artefacts. Our approach achieved excellent accuracy for the first objective with a balanced accuracy nearly similar to that of the annotators (balanced accuracy>80%). However, for the second objective, the performance was weaker and substantially lower than that of human raters. Overall, our framework will be useful to take advantage of CDWs in medical imaging and to highlight the importance of a clinical validation of models trained on research data. © 2023 SPIE.","Clinical Data Warehouse; Deep Learning; Motion; MRI; Quality Control; Transfer Learning","Clinical research; Data warehouses; Deep learning; Magnetic resonance imaging; Artifact detection; Clinical data; Clinical data warehouse; Deep learning; Medical data; Motion; Motion artifact; Research data; T1-weighted; Transfer learning; Medical imaging","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85159707506"
